Match List,,,,,,,,,,,,
Team,Result,For,Aga,Diff,Tries,Conv,Pens,Drop,,Opposition,Ground,date
Ireland,lost,18,50,-32,2,1,2,0,,England,Twickenham,05/02/2000
Ireland,won,44,22,22,5,5,3,0,,Scotland,Lansdowne Road,19/02/2000
Ireland,won,60,13,47,6,6,6,0,,Italy,Lansdowne Road,04/03/2000
Ireland,won,27,25,2,3,3,2,0,,France,Stade de France,19/03/2000
Ireland,lost,19,23,-4,1,1,4,0,,Wales,Lansdowne Road,01/04/2000
Ireland,lost,23,34,-11,4,0,1,0,,Argentina,Buenos Aires,03/06/2000
Ireland,won,83,3,80,13,9,0,0,,USA,Manchester,10/06/2000
Ireland,draw,27,27,0,3,0,4,0,,Canada,Markham,17/06/2000
Ireland,won,78,9,69,11,10,1,0,,Japan,Lansdowne Road,11/11/2000
Ireland,lost,18,28,-10,2,1,2,0,,SouthAfrica,Lansdowne Road,19/11/2000
Ireland,won,41,22,19,5,2,4,0,,Italy,Rome,03/02/2001
Ireland,won,22,15,7,1,1,5,0,,France,Lansdowne Road,17/02/2001
Ireland,won,37,3,34,4,4,3,0,,Romania,Bucharest,02/06/2001
Ireland,lost,10,32,-22,1,1,1,0,,Scotland,Murrayfield,22/09/2001
Ireland,won,36,6,30,3,3,5,0,,Wales,Millennium Stadium,13/10/2001
Ireland,won,20,14,6,1,0,5,0,,England,Lansdowne Road,20/10/2001
Ireland,won,35,8,27,4,3,3,0,,Samoa,Lansdowne Road,11/11/2001
Ireland,lost,29,40,-11,3,1,2,2,,NewZealand,Lansdowne Road,17/11/2001
Ireland,won,54,10,44,6,3,6,0,,Wales,Lansdowne Road,03/02/2002
Ireland,lost,11,45,-34,1,0,2,0,,England,Twickenham,16/02/2002
Ireland,won,43,22,21,5,3,4,0,,Scotland,Lansdowne Road,02/03/2002
Ireland,won,32,17,15,3,1,5,0,,Italy,Lansdowne Road,23/03/2002
Ireland,lost,5,44,-39,1,0,0,0,,France,Stade de France,06/04/2002
Ireland,lost,6,15,-9,0,0,1,1,,NewZealand,Dunedin,15/06/2002
Ireland,lost,8,40,-32,1,0,0,1,,NewZealand,Auckland,22/06/2002
Ireland,won,39,8,31,5,4,2,0,,Romania,Limerick,07/09/2002
Ireland,won,35,3,32,4,3,3,0,,Russia,Krasnoyarsk,21/09/2002
Ireland,won,63,14,49,8,7,3,0,,Georgia,Lansdowne Road,28/09/2002
Ireland,won,18,9,9,0,0,6,0,,Australia,Lansdowne Road,09/11/2002
Ireland,won,64,17,47,9,5,3,0,,Fiji,Lansdowne Road,17/11/2002
Ireland,won,16,7,9,1,1,3,0,,Argentina,Lansdowne Road,23/11/2002
Ireland,won,36,6,30,3,3,5,0,,Scotland,Murrayfield,16/02/2003
Ireland,won,37,13,24,5,3,2,0,,Italy,Rome,22/02/2003
Ireland,won,15,12,3,0,0,4,1,,France,Lansdowne Road,08/03/2003
Ireland,won,25,24,1,2,0,4,1,,Wales,Millennium Stadium,22/03/2003
Ireland,lost,6,42,-36,0,0,1,1,,England,Lansdowne Road,30/03/2003
Ireland,lost,16,45,-29,1,1,3,0,,Australia,Perth,07/06/2003
Ireland,won,40,19,21,6,2,2,0,,Tonga,Nuku A'lofa,14/06/2003
Ireland,won,40,14,26,3,2,6,1,,Samoa,Apia,20/06/2003
Ireland,won,35,12,23,5,5,0,0,,Wales,Lansdowne Road,16/08/2003
Ireland,won,61,6,55,8,6,3,0,,Italy,Limerick,30/08/2003
Ireland,won,29,10,19,4,3,1,0,,Scotland,Murrayfield,06/09/2003
Ireland,won,45,17,28,5,4,4,0,,Romania,Gosford,11/10/2003
Ireland,won,64,7,57,10,7,0,0,,Namibia,Sydney,19/10/2003
Ireland,won,16,15,1,1,1,3,0,,Argentina,Adelaide,26/10/2003
